City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,saint-honore,,,,,,,,
302,saint-honore,64.8945,-23.7142,25.93,69.0,100.0,35.88,IS,1675893002.0
303,saint-honore,42.3414,78.0056,25.32,58.0,100.0,8.75,KG,1675893420.0
304,saint-honore,3.4836,34.1492,69.12,37.0,4.0,5.26,UG,1675893420.0
305,saint-honore,,,,,,,,
306,saint-honore,19.9333,-105.25,83.55,48.0,1.0,9.4,MX,1675893421.0
307,saint-honore,66.0,111.5,-41.39,100.0,93.0,5.86,RU,1675892968.0
308,saint-honore,-20.3167,118.5667,80.65,94.0,0.0,5.75,AU,1675892904.0
309,saint-honore,69.2408,19.2344,41.65,83.0,100.0,15.73,NO,1675893421.0
310,saint-honore,37.3394,-121.895,69.49,46.0,40.0,5.75,US,1675893172.0
311,saint-honore,65.6835,-18.0878,21.13,86.0,40.0,12.66,IS,1675893422.0
312,saint-honore,13.2167,-59.5167,81.21,74.0,40.0,17.27,BB,1675893110.0
313,saint-honore,42.1167,118.7833,21.27,30.0,100.0,2.51,CN,1675893423.0
314,saint-honore,24.0934,32.907,56.5,33.0,0.0,12.66,EG,1675893299.0
315,saint-honore,45.4375,40.5756,19.11,91.0,96.0,13.13,RU,1675893423.0
316,saint-honore,57.0186,82.0711,-16.69,100.0,100.0,2.64,RU,1675893425.0
317,saint-honore,-13.3433,-44.6367,75.87,61.0,86.0,3.58,BR,1675893425.0
318,saint-honore,6.1241,81.1185,73.74,100.0,20.0,5.75,LK,1675893426.0
319,saint-honore,-38.2667,141.9667,61.59,76.0,3.0,6.96,AU,1675892878.0
320,saint-honore,58.0776,60.7202,8.11,95.0,86.0,5.46,RU,1675893426.0
321,saint-honore,43.801,87.6005,13.15,92.0,100.0,2.24,CN,1675893241.0
322,saint-honore,36.4141,64.9053,48.02,82.0,100.0,5.82,AF,1675893427.0
